GmlID;ID;CODIGO;NOME;AREA_KM2;PERIMETR_M;Shape_Leng;Shape_Area
BAIRRO_POPULAR.43;43,000000000000000;649,000000000000000;Conjunto Califórnia II;0,109000000000000;1359,109999999999900;1359,109636189999947;-108874,759466000003158
BAIRRO_POPULAR.44;44,000000000000000;650,000000000000000;Conjunto Celso Machado;0,331000000000000;2601,057999999999993;2601,057948719999786;-331146,777101000014227
BAIRRO_POPULAR.45;45,000000000000000;652,000000000000000;Braúnas;2,003000000000000;8304,615999999999985;8304,616544979999162;-2002974,071019999915734
BAIRRO_POPULAR.46;46,000000000000000;653,000000000000000;Jardim Atlântico;1,132000000000000;11551,620000000000800;11551,620148600000903;-1132187,308010000037029
BAIRRO_POPULAR.47;47,000000000000000;654,000000000000000;Coqueiros;0,677000000000000;3646,106999999999971;3646,107053260000157;-677254,063592000049539
BAIRRO_POPULAR.48;48,000000000000000;655,000000000000000;Coração de Jesus;0,284000000000000;2672,690999999999804;2672,691509820000192;-284007,525534000014886
BAIRRO_POPULAR.49;49,000000000000000;656,000000000000000;Coração Eucarístico;1,039000000000000;5589,752999999999702;5589,752778279999802;-1038893,095109999994747
BAIRRO_POPULAR.50;50,000000000000000;657,000000000000000;Cruzeiro;0,530000000000000;4132,059000000000196;4132,058882149999590;-530373,478303999989294
BAIRRO_POPULAR.51;51,000000000000000;658,000000000000000;Dom Bosco;1,118000000000000;5426,039999999999964;5426,039871750000202;-1118182,961649999953806
BAIRRO_POPULAR.52;52,000000000000000;659,000000000000000;Dom Cabral;0,538000000000000;4323,136000000000422;4323,135455679999723;-537701,158782999962568
BAIRRO_POPULAR.53;53,000000000000000;660,000000000000000;Dom Joaquim;0,450000000000000;3740,565000000000055;3740,564249479999944;-449674,576554999977816
BAIRRO_POPULAR.54;54,000000000000000;661,000000000000000;Dom Silvério;0,503000000000000;4535,930000000000291;4535,930395979999957;-502646,438920999993570
BAIRRO_POPULAR.55;55,000000000000000;662,000000000000000;Dona Clara;0,791000000000000;4458,764000000000124;4458,764083760000176;-791201,902747999993153
BAIRRO_POPULAR.56;56,000000000000000;664,000000000000000;Engenho Nogueira;1,991000000000000;8042,095999999999549;8042,096754559999681;-1991232,689869999885559
BAIRRO_POPULAR.57;57,000000000000000;665,000000000000000;Ermelinda;0,384000000000000;3218,518000000000029;3218,517736969999987;-383633,927426000009291
BAIRRO_POPULAR.58;58,000000000000000;666,000000000000000;Esplanada;0,825000000000000;3568,615999999999985;3568,615520679999918;-824841,843001000001095
BAIRRO_POPULAR.59;59,000000000000000;667,000000000000000;Estoril;1,703000000000000;6653,390999999999622;6653,390823710000404;-1703392,773300000000745
BAIRRO_POPULAR.60;60,000000000000000;669,000000000000000;Etelvina Carneiro;0,309000000000000;2673,182999999999993;2673,183143700000073;-309043,367683999997098
BAIRRO_POPULAR.61;61,000000000000000;670,000000000000000;Europa;0,944000000000000;4823,998999999999796;4823,999510270000428;-944487,264275999972597
BAIRRO_POPULAR.62;62,000000000000000;671,000000000000000;Eymard;0,594000000000000;4062,545000000000073;4062,545717989999957;-594040,955559000023641
BAIRRO_POPULAR.63;63,000000000000000;673,000000000000000;Vila CEMIG;0,295000000000000;3167,507000000000062;3167,507220609999877;-295216,662631999992300
BAIRRO_POPULAR.64;64,000000000000000;674,000000000000000;Sumaré;0,155000000000000;1743,867999999999938;1743,867565810000087;-154570,738817000004929
BAIRRO_POPULAR.65;65,000000000000000;675,000000000000000;Xodó-Marize;0,493000000000000;4154,871000000000095;4154,871033059999718;-493070,284969999978784
BAIRRO_POPULAR.66;66,000000000000000;677,000000000000000;Flávio Marques Lisboa;1,238000000000000;8372,415999999999258;8372,416177439999956;-1237965,418030000058934
BAIRRO_POPULAR.67;67,000000000000000;678,000000000000000;Floramar;1,055000000000000;4890,859999999999673;4890,859663350000119;-1055064,647060000104830
BAIRRO_POPULAR.68;68,000000000000000;679,000000000000000;Floresta;1,094000000000000;5973,451000000000022;5973,450858879999942;-1094286,825949999969453
BAIRRO_POPULAR.69;69,000000000000000;681,000000000000000;Funcionários;0,667000000000000;4212,479000000000269;4212,478921619999710;-667430,580701999948360
BAIRRO_POPULAR.70;70,000000000000000;682,000000000000000;Gameleira;1,017000000000000;5182,578999999999724;5182,578721640000367;-1017354,279770000022836
BAIRRO_POPULAR.71;71,000000000000000;684,000000000000000;Glória;1,654000000000000;7702,891999999999825;7702,891961629999969;-1654339,481750000035390
BAIRRO_POPULAR.72;72,000000000000000;686,000000000000000;Grajaú;0,426000000000000;3222,376000000000204;3222,375763030000144;-425641,003284999984317
BAIRRO_POPULAR.73;73,000000000000000;687,000000000000000;Guarani;0,730000000000000;5027,384000000000015;5027,384073440000066;-729598,827495999983512
BAIRRO_POPULAR.74;74,000000000000000;688,000000000000000;Juliana;0,896000000000000;6657,408999999999651;6657,408843440000055;-895870,374961999943480
BAIRRO_POPULAR.75;75,000000000000000;689,000000000000000;Gutierrez;1,246000000000000;6185,239999999999782;6185,240480170000410;-1245796,300070000113919
BAIRRO_POPULAR.76;76,000000000000000;690,000000000000000;Havaí;1,578000000000000;7668,818000000000211;7668,818694139999934;-1577861,608669999986887
BAIRRO_POPULAR.77;77,000000000000000;691,000000000000000;Heliópolis;0,658000000000000;3766,699999999999818;3766,700294279999980;-657887,175154000055045
BAIRRO_POPULAR.78;78,000000000000000;692,000000000000000;Horto;0,384000000000000;5687,530999999999949;5687,530404060000365;-383901,109151999989990
BAIRRO_POPULAR.79;79,000000000000000;693,000000000000000;Inconfidência;0,345000000000000;3270,005999999999858;3270,005684530000053;-345287,288995000009891
