objectid;área;nome;regiao_adm;area_plane;codbairro;codra;codbnum;link;rp;cod_rp;codbairro_;st_areasha;st_perimet;area_km2
439;3342510,641601560171694;Rio Comprido;RIO COMPRIDO;1;007;3;7;Rio Comprido              &area=7;Centro;1.1;7;3342519,560223045758903;12681,079257753541242;3,342519560220000
440;5157128,513671880587935;Santa Teresa;SANTA TEREZA;1;014;23;14;Santa Teresa              &area=14;Centro;1.1;14;5157142,202903972007334;27344,841104626735614;5,157142202900000
441;980400,665039060055278;Estácio;RIO COMPRIDO;1;009;3;9;Estácio                   &area=9;Centro;1.1;9;980403,290771836997010;5269,432498952721289;0,980403290772000
442;10065558,492675779387355;Tijuca;TIJUCA;2;033;8;33;Tijuca                    &area=33;Tijuca;2.2;33;10065585,297068439424038;20628,852933261328872;10,065585297100000
443;539458,441894530085847;Catumbi;RIO COMPRIDO;1;006;3;6;Catumbi                   &area=6;Centro;1.1;6;539459,892675654962659;5123,712453749691122;0,539459892676000
444;5739104,519531250000000;Grajaú;VILA ISABEL;2;038;9;38;Grajaú                    &area=38;Tijuca;2.2;38;5739119,772796646691859;12833,731362458967851;5,739119772800000
445;2830915,621582029853016;Pechincha;JACAREPAGUA;4;121;16;121;Pechincha                 &area=121;Jacarepaguá;4.1;121;2830923,173542905133218;7817,218012665412061;2,830923173540000
446;2261300,484375000000000;Andaraí;VILA ISABEL;2;037;9;37;Andaraí                   &area=37;Tijuca;2.2;37;2261306,490701237227768;9938,112578124388165;2,261306490700000
447;681026,732910159975290;Catete;BOTAFOGO;2;018;4;18;Catete                    &area=18;Zona Sul;2.1;18;681028,540966541389935;4260,147747354842977;0,681028540967000
448;1646253,587402340024710;Flamengo;BOTAFOGO;2;015;4;15;Flamengo                  &area=15;Zona Sul;2.1;15;1646257,963777906261384;6665,349162565097686;1,646257963780000
449;2493507,371582029853016;Laranjeiras;BOTAFOGO;2;017;4;17;Laranjeiras               &area=17;Zona Sul;2.1;17;2493514,034339312463999;10537,128736078888323;2,493514034340000
450;131786592,992187500000000;Guaratiba;GUARATIBA;5;151;26;151;Guaratiba                 &area=151;Guaratiba;5.4;151;131786941,570838004350662;88693,995708501519402;131,786941571000000
451;39380382,521972671151161;Vargem Grande;BARRA DA TIJUCA;4;131;24;131;Vargem Grande             &area=131;Barra da Tijuca;4.2;131;39380486,947490014135838;33697,320972958339553;39,380486947500003
452;31495676,008789058774710;Alto da Boa Vista;TIJUCA;2;034;8;34;Alto da Boa Vista         &area=34;Tijuca;2.2;34;31495759,649494230747223;43744,469541577236669;31,495759649499998
453;892540,065917970030569;Cosme Velho;BOTAFOGO;2;019;4;19;Cosme Velho               &area=19;Zona Sul;2.1;19;892542,469830598798580;7889,681451933730386;0,892542469831000
454;3339565,578613280318677;Curicica;JACAREPAGUA;4;119;16;119;Curicica                  &area=119;Jacarepaguá;4.1;119;3339574,415815636049956;9985,692182817894718;3,339574415820000
455;4798955,831542970612645;Botafogo;BOTAFOGO;2;020;4;20;Botafogo                  &area=20;Zona Sul;2.1;20;4798968,633448454551399;12136,391938929575190;4,798968633450000
456;2319001,837402340024710;Urca;BOTAFOGO;2;022;4;22;Urca                      &area=22;Zona Sul;2.1;22;2319007,983952365815639;14138,523910427147712;2,319007983950000
457;1273024,816406250000000;Cidade de Deus;CIDADE DE DEUS;4;118;34;118;Cidade de Deus            &area=118;Jacarepaguá;4.1;118;1273028,181629490572959;7243,934431667592435;1,273028181630000
458;11621300,014648439362645;Sepetiba;SANTA CRUZ;5;150;19;150;Sepetiba                  &area=150;Santa Cruz;5.3;150;11621330,813849186524749;21108,849494295758632;11,621330813800000
459;3500410,670898439828306;Anil;JACAREPAGUA;4;116;16;116;Anil                      &area=116;Jacarepaguá;4.1;116;3500419,991671406198293;10834,606579470279030;3,500419991670000
460;75796482,331054687500000;Jacarepaguá;JACAREPAGUA;4;115;16;115;Jacarepaguá               &area=115;Jacarepaguá;4.1;115;75796684,039472147822380;73409,804029594888561;75,796684039499993
461;8859905,685058590024710;Camorim;BARRA DA TIJUCA;4;129;24;129;Camorim                   &area=129;Barra da Tijuca;4.2;129;8859929,122230559587479;17128,184412654642074;8,859929122230000
462;1054475,318847659975290;Humaitá;BOTAFOGO;2;021;4;21;Humaitá                   &area=21;Zona Sul;2.1;21;1054478,094441603636369;7100,855818532910234;1,054478094440000
463;1236291,522949219914153;Gardênia Azul;JACAREPAGUA;4;117;16;117;Gardênia Azul             &area=117;Jacarepaguá;4.1;117;1236294,807182449381799;4618,112239631323973;1,236294807180000
464;2689203,733886720146984;Jardim Botânico;LAGOA;2;028;6;28;Jardim Botânico           &area=28;Zona Sul;2.1;28;2689210,855485330335796;12263,131622962666370;2,689210855490000
465;14438294,698242191225290;Vargem Pequena;BARRA DA TIJUCA;4;130;24;130;Vargem Pequena            &area=130;Barra da Tijuca;4.2;130;14438332,930730804800987;20648,952827857319789;14,438332930700000
466;4100850,171875000000000;Copacabana;COPACABANA;2;024;5;24;Copacabana                &area=24;Zona Sul;2.1;24;4100861,010915669612586;12803,516209460261962;4,100861010920000
467;977199,051269529969431;Leme;COPACABANA;2;023;5;23;Leme                      &area=23;Zona Sul;2.1;23;977201,642581086489372;7045,331379279228713;0,977201642581000
468;5109893,287109380587935;Lagoa;LAGOA;2;027;6;27;Lagoa                     &area=27;Zona Sul;2.1;27;5109906,835076276212931;10368,053471156403248;5,109906835080000
469;13197726,203613281250000;Itanhangá;BARRA DA TIJUCA;4;127;24;127;Itanhangá                 &area=127;Barra da Tijuca;4.2;127;13197761,115648780018091;20400,671868936704413;13,197761115600001
470;2579636,591308590024710;Gávea;LAGOA;2;029;6;29;Gávea                     &area=29;Zona Sul;2.1;29;2579643,414962755516171;14268,524286217854751;2,579643414960000
