OBJECTID;CODIGO;TIPO;NOME;FONTE;CD_REGIONA;NM_REGIONA;SHAPE_AREA;SHAPE_LEN;area_km2
55;21,000000000000000;DIVISA DE BAIRROS;CAJURU;Decreto Municipal 774 / 1975;3,000000000000000;REGIONAL CAJURU;11793846,247099999338388;16179,350555999999415;11,793851327800001
58;37,000000000000000;DIVISA DE BAIRROS;UBERABA;Decreto Municipal 774 / 1975;3,000000000000000;REGIONAL CAJURU;14208261,334000000730157;22153,061766999999236;14,208267059000001
59;49,000000000000000;DIVISA DE BAIRROS;TABOÃO;Decreto Municipal 774 / 1975;4,000000000000000;REGIONAL BOA VISTA;1827572,888370000058785;9731,154167999999117;1,827573938880000
60;51,000000000000000;DIVISA DE BAIRROS;CACHOEIRA;Decreto Municipal 774 / 1975;4,000000000000000;REGIONAL BOA VISTA;3221611,224599999841303;8921,574026000000231;3,221613090160000
61;53,000000000000000;DIVISA DE BAIRROS;SANTA CÂNDIDA;Decreto Municipal 774 / 1975;4,000000000000000;REGIONAL BOA VISTA;10191780,908700000494719;16660,276956999998220;10,191785417700000
62;75,000000000000000;DIVISA DE BAIRROS;CIDADE INDUSTRIAL DE CURITIBA;Decreto Municipal 774 / 1975;11,000000000000000;REGIONAL CIC;44312604,652300000190735;48425,847270999998727;44,312623769500000
63;62,000000000000000;DIVISA DE BAIRROS;LAMENHA PEQUENA;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;3512540,743600000161678;12108,182929000000513;3,512542245660000
64;12,000000000000000;DIVISA DE BAIRROS;MERCÊS;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;3593403,955939999781549;9153,605539000000135;3,593405776490000
67;46,000000000000000;DIVISA DE BAIRROS;SANTO INÁCIO;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;3358255,688250000122935;10446,540071999999782;3,358257513110000
69;31,000000000000000;DIVISA DE BAIRROS;VISTA ALEGRE;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;3698848,438029999844730;10150,085812999999689;3,698849838060000
70;60,000000000000000;DIVISA DE BAIRROS;SÃO BRAZ;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;5060314,523889999836683;11698,605208000000857;5,060317099190000
71;48,000000000000000;DIVISA DE BAIRROS;SÃO JOÃO;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;3036122,134610000066459;8110,401858999999604;3,036122712310000
74;47,000000000000000;DIVISA DE BAIRROS;CASCATINHA;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;2182141,590239999815822;8730,820986999999150;2,182142479440000
75;63,000000000000000;DIVISA DE BAIRROS;SANTA FELICIDADE;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;12175993,266499999910593;19182,712063999999373;12,176001228700001
